sentence_number,sentence,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
47,"Every decision on trade, on taxes, on immigration, on foreign affairs, will be made to benefit American workers and American families.",0,1,1,1,1,1
48,"We must protect our borders from the ravages of other countries making our products, stealing our companies, and destroying our jobs.",-1,0,1,0,0,1
49,Protection will lead to great prosperity and strength.,1,0,1,0,1,1
50,"I will fight for you with every breath in my body – and I will never, ever let you down.",1,0,1,1,1,1
51,"America will start winning again, winning like never before.",1,1,1,1,1,1
52,We will bring back our jobs.,1,1,1,1,1,1
53,We will bring back our borders. ,1,1,1,1,1,1
54,We will bring back our wealth.,1,0,1,1,1,1
55,And we will bring back our dreams.,1,0,1,1,1,1
56,"We will build new roads, and highways, and bridges, and airports, and tunnels, and railways all across our wonderful nation.",1,0,1,1,1,1
57,We will get our people off of welfare and back to work – rebuilding our country with American hands and American labor.,1,0,1,1,1,1
58,We will follow two simple rules: Buy American and Hire American.,0,0,1,1,0,0
59,We will seek friendship and goodwill with the nations of the world – but we do so with the understanding that it is the right of all nations to put their own interests first.,1,0,1,1,1,1
60,"We do not seek to impose our way of life on anyone, but rather to let it shine as an example for everyone to follow.",1,0,1,1,1,1
61,"We will reinforce old alliances and form new ones – and unite the civilized world against Radical Islamic Terrorism, which we will eradicate completely from the face of the Earth.",1,0,1,1,1,1
62,"At the bedrock of our politics will be a total allegiance to the United States of America, and through our loyalty to our country, we will rediscover our loyalty to each other.",1,0,1,1,1,1
63,"When you open your heart to patriotism, there is no room for prejudice.",0,1,1,1,0,1
64,"The Bible tells us, “how good and pleasant it is when God’s people live together in unity.”",0,1,1,1,1,1
65,"We must speak our minds openly, debate our disagreements honestly, but always pursue solidarity.",0,1,1,1,1,1
66,"When America is united, America is totally unstoppable.",1,1,1,1,1,1
67,"There should be no fear – we are protected, and we will always be protected.",1,1,1,1,1,1
68,"We will be protected by the great men and women of our military and law enforcement and, most importantly, we are protected by God.",1,1,1,1,1,1
69,"Finally, we must think big and dream even bigger.",1,1,1,1,1,1
70,"In America, we understand that a nation is only living as long as it is striving.",0,0,1,0,0,0
71,We will no longer accept politicians who are all talk and no action – constantly complaining but never doing anything about it.,-1,1,1,0,-1,1
72,The time for empty talk is over.,0,-1,1,0,-1,0
73,Now arrives the hour of action.,1,-1,1,0,1,0
74,Do not let anyone tell you it cannot be done.,-1,-1,1,1,1,1
75,No challenge can match the heart and fight and spirit of America.,1,-1,1,1,1,0
76,We will not fail.,1,1,1,1,1,1
77,Our country will thrive and prosper again.,1,1,1,1,1,1
78,"We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease, and to harness the energies, industries and technologies of tomorrow.",1,-1,1,1,1,1
79,"A new national pride will stir our souls, lift our sights, and heal our divisions.",1,-1,1,1,1,1
80,"It is time to remember that old wisdom our soldiers will never forget: that whether we are black or brown or white, we all bleed the same red blood of patriots, we all enjoy the same glorious freedoms, and we all salute the same great American Flag.",1,-1,1,1,1,1
81,"And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the same night sky, they fill their heart with the same dreams, and they are infused with the breath of life by the same almighty Creator.",1,-1,1,1,1,1
82,"So to all Americans, in every city near and far, small and large, from mountain to mountain, and from ocean to ocean, hear these words:",0,0,0,0,0,0
83,You will never be ignored again.,1,0,1,1,1,1
84,"Your voice, your hopes, and your dreams, will define our American destiny.",1,0,1,1,1,1
85,And your courage and goodness and love will forever guide us along the way.,1,0,1,1,1,1
86,"Together, We Will Make America Strong Again.",1,-1,1,1,1,1
87,We Will Make America Wealthy Again.,1,-1,1,1,1,1
88,We Will Make America Proud Again.,1,-1,1,1,1,1
89,We Will Make America Safe Again.,1,1,1,1,1,1
90,"And, Yes, Together, We Will Make America Great Again. ",1,1,1,1,1,1
91,"Thank you, God Bless You, And God Bless America.",0,1,1,1,1,1
